absolute_pdt,absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-14 17:42:00,2025-06-15 00:42:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 18:41:30,2025-06-15 01:41:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 19:16:50,2025-06-15 02:16:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 20:16:20,2025-06-15 03:16:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 20:51:40,2025-06-15 03:51:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 21:51:10,2025-06-15 04:51:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 22:26:30,2025-06-15 05:26:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 23:26:00,2025-06-15 06:26:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 00:01:30,2025-06-15 07:01:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 01:00:50,2025-06-15 08:00:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 01:36:20,2025-06-15 08:36:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 02:35:40,2025-06-15 09:35:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 03:11:10,2025-06-15 10:11:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 04:10:40,2025-06-15 11:10:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 04:46:00,2025-06-15 11:46:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 05:29:10,2025-06-15 12:29:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 05:30:30,2025-06-15 12:30:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 05:45:30,2025-06-15 12:45:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 06:20:50,2025-06-15 13:20:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 07:02:50,2025-06-15 14:02:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 07:08:10,2025-06-15 14:08:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 07:20:20,2025-06-15 14:20:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 07:55:40,2025-06-15 14:55:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 08:34:10,2025-06-15 15:34:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 08:45:20,2025-06-15 15:45:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 08:55:10,2025-06-15 15:55:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 09:30:30,2025-06-15 16:30:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 10:07:40,2025-06-15 17:07:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 10:20:40,2025-06-15 17:20:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 10:30:00,2025-06-15 17:30:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 11:05:20,2025-06-15 18:05:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 11:43:30,2025-06-15 18:43:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 11:53:40,2025-06-15 18:53:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 12:04:50,2025-06-15 19:04:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 12:40:10,2025-06-15 19:40:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 13:39:40,2025-06-15 20:39:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 14:15:00,2025-06-15 21:15:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 15:14:30,2025-06-15 22:14:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 15:49:50,2025-06-15 22:49:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 16:49:20,2025-06-15 23:49:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 17:24:40,2025-06-16 00:24:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 18:24:10,2025-06-16 01:24:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 18:59:30,2025-06-16 01:59:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 19:59:00,2025-06-16 02:59:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 20:34:30,2025-06-16 03:34:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 21:33:50,2025-06-16 04:33:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 22:09:20,2025-06-16 05:09:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 23:08:50,2025-06-16 06:08:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 23:44:10,2025-06-16 06:44:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 00:43:40,2025-06-16 07:43:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 01:19:00,2025-06-16 08:19:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 02:18:30,2025-06-16 09:18:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 02:53:50,2025-06-16 09:53:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 03:53:20,2025-06-16 10:53:20,True,0,PAYLOAD,IDLE,SCIENCE
