absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-14 11:20:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 11:56:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 12:39:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-14 12:40:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 12:55:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 13:30:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 14:12:50+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-14 14:18:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 14:30:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 15:05:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 15:44:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-14 15:55:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 16:05:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 16:40:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 17:17:40+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-14 17:30:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 17:40:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 18:15:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 18:53:30+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-14 19:03:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 19:14:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 19:50:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 20:49:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 21:25:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 22:24:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-14 22:59:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-14 23:59:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 00:34:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 01:34:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 02:09:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 03:09:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 03:44:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 04:43:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 05:19:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 06:18:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 06:54:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 07:53:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 08:29:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 09:28:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 10:03:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 11:03:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 11:38:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 12:38:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 13:13:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 13:55:30+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 14:00:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 14:00:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 14:00:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 14:13:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 14:48:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 15:27:50+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 15:37:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 15:47:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-15 16:23:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 17:00:40+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-15 17:13:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-15 17:22:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
