absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode,
3/25/2025 18:52,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 19:51,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 20:27,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 21:26,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 22:02,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 23:01,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 23:36,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 00:36,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 01:11,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 02:11,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 02:46,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 03:46,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 04:21,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 05:20,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 05:56,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 06:38,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/26/2025 06:42,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 06:55,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 07:31,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 08:11,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/26/2025 08:19,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 08:30,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 09:05,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 09:43,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/26/2025 09:56,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 10:05,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 10:40,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 11:18,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/26/2025 11:30,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 11:40,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 12:15,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 12:56,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/26/2025 12:59,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 13:15,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 13:50,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 14:49,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 15:25,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 16:24,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 17:00,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 17:59,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 18:35,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 19:34,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 20:09,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 21:03,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/26/2025 21:04,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 21:09,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 21:44,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/26/2025 22:44,TRUE,0,PAYLOAD,IDLE,IDLE,
3/26/2025 23:19,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 00:19,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 00:54,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 01:53,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 02:29,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 03:28,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 04:04,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 05:03,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 05:38,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 06:21,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 06:24,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 06:38,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 07:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 07:54,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 08:02,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 08:02,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 08:02,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 08:13,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 08:48,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 09:26,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 09:38,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 09:48,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 10:23,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 11:00,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 11:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 11:22,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 11:58,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 12:37,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 12:37,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 12:38,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/27/2025 12:43,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 12:57,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 13:33,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 14:32,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 15:07,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 16:07,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 16:42,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 17:42,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 18:17,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 19:17,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 19:52,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 20:52,TRUE,0,PAYLOAD,IDLE,IDLE,
3/27/2025 21:27,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/27/2025 22:26,TRUE,0,PAYLOAD,IDLE,IDLE,
