absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-25 22:44:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-25 23:19:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 00:19:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 00:54:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 01:53:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 02:29:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 03:28:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 04:04:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 05:03:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 05:38:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 06:21:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 06:24:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 06:38:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 07:13:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 07:54:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 08:02:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 08:02:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 08:02:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 08:13:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 08:48:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 09:26:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 09:38:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 09:48:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 10:23:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 11:00:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 11:13:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 11:22:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 11:58:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 12:37:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 12:37:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 12:38:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-26 12:43:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 12:57:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 13:33:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 14:32:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 15:07:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 16:07:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 16:42:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 17:42:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 18:17:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 19:17:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 19:52:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 20:52:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 21:27:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-26 22:26:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-26 23:02:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 00:01:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 00:37:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 01:36:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 02:11:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 03:11:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 03:46:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 04:46:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 05:21:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 06:04:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-27 06:07:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 06:21:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 06:56:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 07:37:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-27 07:44:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 07:55:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 08:31:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 09:09:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-27 09:21:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 09:30:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 10:06:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 10:43:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-27 10:56:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 11:05:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 11:40:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 12:19:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-27 12:27:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 12:40:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 13:15:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 14:15:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 14:50:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 15:50:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 16:25:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 17:24:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 18:00:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 18:59:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 19:35:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 20:34:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 21:09:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 22:09:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-27 22:44:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-27 23:44:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 00:19:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 01:19:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 01:54:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 02:54:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 03:29:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 04:28:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 05:04:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 05:47:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-28 05:49:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 06:03:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 06:39:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 07:20:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-28 07:26:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 07:26:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-28 07:26:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 07:38:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 08:13:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 08:52:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-28 09:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-28 09:13:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-28 09:48:40,False,0,PAYLOAD,SCIENCE,SCIENCE
