absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-03-22 10:30:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 10:35:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 11:12:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 11:25:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 11:34:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 12:09:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 12:49:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 12:55:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 13:09:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 13:44:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 14:44:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 15:19:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 16:19:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 16:54:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 17:54:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 18:29:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 19:28:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 20:04:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 21:03:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 21:39:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 22:38:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 23:13:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 00:07:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 00:07:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 00:13:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 00:48:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 01:48:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 02:23:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 02:33:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 02:33:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 03:23:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 03:58:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 04:57:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 05:33:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 06:16:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 06:19:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 06:32:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 07:08:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 07:49:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 07:55:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 08:07:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 08:43:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 09:21:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 09:32:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 09:42:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 10:17:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 10:55:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 11:08:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 11:17:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 11:52:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 12:31:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 12:39:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 12:52:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 13:27:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 14:27:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 15:02:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 16:01:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 16:37:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 17:36:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 17:36:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 17:36:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 18:12:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 19:11:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 19:46:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 20:46:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 21:21:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 22:21:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 22:56:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 23:56:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 00:31:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 01:30:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 02:06:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 03:05:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 03:41:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 04:40:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 05:16:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 05:59:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 06:00:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 06:15:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 06:50:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 07:32:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 07:38:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 07:50:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 08:25:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 09:04:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 09:15:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 09:25:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 10:00:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 10:37:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 10:50:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 11:00:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 11:35:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 12:13:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 12:23:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 12:34:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 13:10:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 14:09:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 14:45:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 15:44:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 16:19:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 17:19:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 17:54:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 18:54:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 19:29:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 20:29:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 21:04:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 22:03:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 22:39:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 23:38:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 00:14:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 01:13:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 01:49:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 02:48:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 03:23:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 04:23:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 04:58:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 05:58:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 06:33:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 07:15:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 07:20:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 07:20:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 07:20:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 07:33:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 08:08:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 08:47:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 08:57:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 09:07:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 09:43:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 10:20:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 10:33:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 10:42:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 11:18:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 11:56:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-25 12:07:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 12:17:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 12:52:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 13:52:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 14:27:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 15:27:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 16:02:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 17:02:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 17:37:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 18:36:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 19:12:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 20:11:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 20:47:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 21:46:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 22:22:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-25 23:21:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-25 23:56:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 00:56:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 01:31:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 02:31:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 03:06:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 04:06:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 04:41:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 05:40:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 06:16:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 06:58:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 07:02:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 07:15:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 07:51:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 08:31:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 08:39:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 08:50:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 09:25:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 10:03:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 10:16:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 10:25:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 11:00:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 11:38:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 11:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 12:00:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 12:35:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 13:16:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 13:19:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 13:35:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 14:10:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 15:09:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 15:45:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 16:44:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 17:20:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 18:19:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 18:55:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 19:54:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 20:29:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 21:23:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-26 21:24:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 21:29:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 22:04:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-26 23:04:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-26 23:39:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 00:39:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 01:14:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 02:13:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-27 02:49:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-27 03:48:40,True,0,PAYLOAD,IDLE,IDLE
